"STATION","NAME","DATE","TAVG"
"USW00094728","NY CITY CENTRAL PARK, NY US","1883-10","11.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","1883-11","6.5"
"USW00094728","NY CITY CENTRAL PARK, NY US","1883-12","-0.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","1884-01","-4.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","1884-02","1.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1884-03","2.8"
"USW00094728","NY CITY CENTRAL PARK, NY US","1884-04","8.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1884-05","15.7"
"USW00094728","NY CITY CENTRAL PARK, NY US","1884-06","21.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","1884-07","22.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","1884-08","23.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","1884-09","22.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","1884-10","14.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","1884-11","6.7"
"USW00094728","NY CITY CENTRAL PARK, NY US","1884-12","0.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1885-01","-1.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","1885-02","-5.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","1885-03","-1.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1885-04","9.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","1885-05","15.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","1885-06","20.8"
"USW00094728","NY CITY CENTRAL PARK, NY US","1885-07","25.5"
"USW00094728","NY CITY CENTRAL PARK, NY US","1885-08","22.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","1885-09","17.7"
"USW00094728","NY CITY CENTRAL PARK, NY US","1885-10","12.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","1885-11","6.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1885-12","1.8"
"USW00094728","NY CITY CENTRAL PARK, NY US","1886-01","-3.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","1886-02","-2.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1886-03","3.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","1886-04","12.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1886-05","15.8"
"USW00094728","NY CITY CENTRAL PARK, NY US","1886-06","20.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","1886-07","24.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1886-08","21.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","1886-09","18.8"
"USW00094728","NY CITY CENTRAL PARK, NY US","1886-10","12.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1886-11","6.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1886-12","-1.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","1887-01","-2.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","1887-02","-0.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","1887-03","0.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","1887-04","7.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1887-05","18.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1887-06","21.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","1887-07","26.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","1887-08","21.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","1887-09","16.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","1887-10","11.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","1887-11","5.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","1887-12","0.8"
"USW00094728","NY CITY CENTRAL PARK, NY US","1888-01","-4.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1888-02","-1.5"
"USW00094728","NY CITY CENTRAL PARK, NY US","1888-03","-1.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","1888-04","7.8"
"USW00094728","NY CITY CENTRAL PARK, NY US","1888-05","14.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","1888-06","21.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1888-07","21.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","1888-08","22.7"
"USW00094728","NY CITY CENTRAL PARK, NY US","1888-09","17.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","1888-10","9.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","1888-11","7.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","1888-12","1.5"
"USW00094728","NY CITY CENTRAL PARK, NY US","1889-01","2.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","1889-02","-2.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","1889-03","4.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","1889-04","10.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","1889-05","17.7"
"USW00094728","NY CITY CENTRAL PARK, NY US","1889-06","21.5"
"USW00094728","NY CITY CENTRAL PARK, NY US","1889-07","23.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","1889-08","21.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","1889-09","18.5"
"USW00094728","NY CITY CENTRAL PARK, NY US","1889-10","9.8"
"USW00094728","NY CITY CENTRAL PARK, NY US","1889-11","7.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1889-12","4.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","1890-01","3.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","1890-02","3.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","1890-03","2.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1890-04","9.8"
"USW00094728","NY CITY CENTRAL PARK, NY US","1890-05","16.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1890-06","21.5"
"USW00094728","NY CITY CENTRAL PARK, NY US","1890-07","23.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1890-08","22.8"
"USW00094728","NY CITY CENTRAL PARK, NY US","1890-09","19.7"
"USW00094728","NY CITY CENTRAL PARK, NY US","1890-10","12.7"
"USW00094728","NY CITY CENTRAL PARK, NY US","1890-11","6.8"
"USW00094728","NY CITY CENTRAL PARK, NY US","1890-12","-1.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","1891-01","1.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","1891-02","2.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","1891-03","2.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","1891-04","10.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1891-05","14.7"
"USW00094728","NY CITY CENTRAL PARK, NY US","1891-06","22.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","1891-07","22.8"
"USW00094728","NY CITY CENTRAL PARK, NY US","1891-08","24.5"
"USW00094728","NY CITY CENTRAL PARK, NY US","1891-09","22.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","1891-10","12.8"
"USW00094728","NY CITY CENTRAL PARK, NY US","1891-11","6.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","1891-12","5.8"
"USW00094728","NY CITY CENTRAL PARK, NY US","1892-01","-0.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","1892-02","0.8"
"USW00094728","NY CITY CENTRAL PARK, NY US","1892-03","1.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","1892-04","9.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","1892-05","15.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","1892-06","23.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","1892-07","24.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","1892-08","23.8"
"USW00094728","NY CITY CENTRAL PARK, NY US","1892-09","18.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","1892-10","11.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1892-11","6.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","1892-12","0.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","1893-01","-4.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","1893-02","-1.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","1893-03","1.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1893-04","8.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","1893-05","14.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","1893-06","20.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","1893-07","23.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","1893-08","23.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","1893-09","17.5"
"USW00094728","NY CITY CENTRAL PARK, NY US","1893-10","13.5"
"USW00094728","NY CITY CENTRAL PARK, NY US","1893-11","6.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1893-12","1.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","1894-01","0.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1894-02","-2.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","1894-03","6.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","1894-04","9.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","1894-05","16.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","1894-06","21.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","1894-07","24.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","1894-08","21.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","1894-09","20.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","1894-10","13.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","1894-11","5.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","1894-12","2.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","1895-01","-1.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","1895-02","-4.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","1895-03","2.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1895-04","10.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1895-05","17.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","1895-06","23.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","1895-07","22.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1895-08","24.5"
"USW00094728","NY CITY CENTRAL PARK, NY US","1895-09","22.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1895-10","11.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","1895-11","8.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1895-12","3.5"
"USW00094728","NY CITY CENTRAL PARK, NY US","1896-01","-1.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","1896-02","-0.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","1896-03","0.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","1896-04","11.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","1896-05","19.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","1896-06","21.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","1896-07","25.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1896-08","24.7"
"USW00094728","NY CITY CENTRAL PARK, NY US","1896-09","19.7"
"USW00094728","NY CITY CENTRAL PARK, NY US","1896-10","12.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","1896-11","9.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1896-12","1.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","1897-01","-0.7"
"USW00094728","NY CITY CENTRAL PARK, NY US","1897-02","0.7"
"USW00094728","NY CITY CENTRAL PARK, NY US","1897-03","4.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1897-04","10.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","1897-05","16.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","1897-06","19.7"
"USW00094728","NY CITY CENTRAL PARK, NY US","1897-07","24.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1897-08","23.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1897-09","19.5"
"USW00094728","NY CITY CENTRAL PARK, NY US","1897-10","13.8"
"USW00094728","NY CITY CENTRAL PARK, NY US","1897-11","7.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","1897-12","3.7"
"USW00094728","NY CITY CENTRAL PARK, NY US","1898-01","1.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1898-02","2.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","1898-03","7.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1898-04","8.8"
"USW00094728","NY CITY CENTRAL PARK, NY US","1898-05","15.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","1898-06","22.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","1898-07","24.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1898-08","24.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","1898-09","21.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","1898-10","15.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","1898-11","7.7"
"USW00094728","NY CITY CENTRAL PARK, NY US","1898-12","1.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","1899-01","-0.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","1899-02","-2.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","1899-03","3.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","1899-04","9.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1899-05","17.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","1899-06","23.7"
"USW00094728","NY CITY CENTRAL PARK, NY US","1899-07","25.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1899-08","24.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","1899-09","18.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1899-10","15.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1899-11","8.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1899-12","3.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","1900-01","0.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","1900-02","-0.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1900-03","0.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1900-04","10.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","1900-05","15.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","1900-06","21.8"
"USW00094728","NY CITY CENTRAL PARK, NY US","1900-07","25.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","1900-08","25.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","1900-09","21.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","1900-10","16.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","1900-11","9.5"
"USW00094728","NY CITY CENTRAL PARK, NY US","1900-12","2.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","1901-01","0.3"
