Provincia	Código INE	Nombre del Municipio	Nº de conatos	Nº de incendios	Total conatos + incendios	Superficie arbolada (ha)	Superficie desarbola (ha)	Superficie forestal total (ha)	Superficie total del Municipio 	
	02026	Cenizate	3	0	3	0.04	0.91	0.95	6,322.98	
	02027	Corral-Rubio	0	4	4	0.52	2.86	3.38	9,472.16	
	02028	Cotillas	3	0	3	0.01	0.16	0.17	1,445.77	
	02029	Chinchilla de Monte-Aragón	7	18	25	17.76	15.94	33.7	67,972.66	
	02030	Elche de la Sierra	10	30	40	2.39	6.27	8.66	23,933.81	
	02031	Férez	8	15	23	2.19	4.37	6.56	12,606.71	
	02032	Fuensanta	8	0	8	0.38	0.63	1.01	2,394.07	
	02033	Fuente-Álamo	4	3	7	0	2.55	2.55	13,334.21	
	02034	Fuentealbilla	1	8	9	0.24	7.36	7.6	10,824.67	
	02035	La Gineta	1	2	3	0.56	6.2	6.76	13,666.98	
	02036	Golosalvo	0	2	2	0.51	0.5	1.01	2,816.30	
	02037	Hellín	52	96	148	3681.48	2436.73	6118.21	78,080.92	
	02038	La Herrera	0	0	0	0	0	0	6,336.00	
	02039	Higueruela	6	19	25	24.83	1084.3	1109.13	20,538.29	
	02040	Hoya-Gonzalo	1	10	11	0.01	349.75	349.76	11,452.57	
	02041	Jorquera	1	14	15	8.6	15.25	23.85	6,794.23	
	02042	Letur	14	35	49	2.44	5.09	7.53	26,338.91	
	02043	Lezuza	5	6	11	1.05	2.25	3.3	36,064.77	
	02044	Liétor	6	38	44	2.27	9.56	11.83	31,139.34	
	02045	Madrigueras	1	5	6	0.77	1.29	2.06	7,326.99	
	02046	Mahora	1	8	9	6.13	8.44	14.57	10,808.80	
	02047	Masegoso	0	5	5	4.01	5.6	9.61	10,379.51	
	02048	Minaya	0	0	0	0	0	0	6,978.02	
	02049	Molinicos	11	34	45	19.93	5.87	25.8	14,348.37	
	02050	Montalvos	0	0	0	0	0	0	2,476.33	
	02051	Montealegre del Castillo	0	3	3	0.01	1.03	1.04	17,774.31	
	02052	Motilleja	1	3	4	1.3	0.2	1.5	2,380.55	
	02053	Munera	1	14	15	0.31	9.26	9.57	22,925.85	
	02054	Navas de Jorquera	1	0	1	0.04	0	0.04	4,223.83	
	02055	Nerpio	7	21	28	1.98	7.38	9.36	43,548.37	
	02056	Ontur	3	9	12	1.32	5	6.32	5,436.07	
	02057	Ossa de Montiel	4	14	18	0.01	8.49	8.5	24,330.72	
	02058	Paterna del Madera	8	15	23	9.47	2.11	11.58	11,225.64	
	02059	Peñascosa	7	15	22	24.81	1.15	25.96	18,912.21	
	02060	Peñas de San Pedro	1	11	12	2.77	4.09	6.86	15,865.20	
	02061	Pétrola	1	3	4	30	16.21	46.21	7,457.72	
	02062	Povedilla	1	7	8	1.55	2.37	3.92	4,938.99	
	02063	Pozohondo	0	5	5	0.81	9.99	10.8	13,645.87	
	02064	Pozo-Lorente	0	4	4	294.42	236.33	530.75	8,092.45	
	02065	Pozuelo	3	0	3	0	0.34	0.34	13,369.17	
	02066	La Recueja	2	11	13	0.45	5.58	6.03	2,972.80	
	02067	Riópar	4	19	23	8.59	3.99	12.58	8,085.71	
	02068	Robledo	1	12	13	3.5	7.55	11.05	11,999.76	
	02069	La Roda	4	5	9	8.32	1.23	9.55	39,851.29	
	02070	Salobre	2	11	13	1.16	2.19	3.35	4,948.95	
	02071	San Pedro	1	5	6	2.48	0.26	2.74	8,305.80	
	02072	Socovos	5	11	16	6.78	0.57	7.35	13,852.81	
	02073	Tarazona de la Mancha	5	11	16	4.62	7.79	12.41	21,245.60	
	02074	Tobarra	26	51	77	1.14	113.67	114.81	32,481.04	
	02075	Valdeganga	5	26	31	7.92	34.68	42.6	7,072.82	
	02076	Vianos	2	10	12	0.32	3.5	3.82	12,793.62	
	02077	Villa de Ves	9	0	9	0.04	0.85	0.89	5,752.17	
	02078	Villalgordo del Jécar	3	11	14	5.46	4.9	10.36	4,665.44	
	02079	Villamalea	9	13	22	5.9	0.86	6.76	12,793.65	
	02080	Villapalacios	1	11	12	0.32	8.6	8.92	8,741.15	
	02081	Villarrobledo	2	21	23	38.89	40.76	79.65	86,173.88	
	02082	Villatoya	1	9	10	14.45	2.35	16.8	1,881.82	
	02083	Villavaliente	1	0	1	0	0.1	0.1	3,482.84	
	02084	Villaverde de Guadalimar	8	8	16	3.35	0.5	3.85	6,902.47	
	02085	Viveros	3	0	3	0.2	0.19	0.39	6,531.60	
	02086	Yeste	16	72	88	19.03	14.08	33.11	51,084.55	
	02901	Pozo Cañada	2	0	2	0.7	0.1	0.8	11,710.44	
	53003	Dehesa de Santiago	0	0	0	0	0	0	826.82	
Total Albacete									1,491,726.16	
Alicante	03001	Adsubia	1	17	18	33.51	220.92	254.43	1,467.97	
	03002	Agost	3	0	3	0.1	0.52	0.62	6,665.38	
	03003	Agres	10	1	11	25.62	6.83	32.45	2,584.57	
	03004	Aigües	2	5	7	14.01	22.06	36.07	1,848.22	
	03005	Albatera	3	0	3	0.2	0.02	0.22	6,154.51	
	03006	Alcalalí	0	9	9	0.17	2.95	3.12	1,440.95	
	03007	Alcocer de Planes	1	0	1	0	0.22	0.22	438.93	
	03008	Alcoleja	2	5	7	5.09	2.56	7.65	1,456.77	
	03009	Alcoy/Alcoi	12	38	50	177.09	34.54	211.63	12,990.61	
	03010	Alfafara	1	7	8	262.03	365.25	627.28	1,978.34	
	03011	L'Alfàs del Pi	7	11	18	6.47	1.01	7.48	1,984.62	
	03012	Algorfa	1	0	1	0	0	0	1,835.87	
	03013	Algueña	0	1	1	1	1	2	1,843.23	
	03014	Alacant/Alicante	3	16	19	22.63	88.19	110.82	20,159.78	
	03015	Almoradí	3	0	3	0.4	0.03	0.43	4,272.68	
	03016	Almudaina	5	0	5	0.04	1.11	1.15	882.48	
	03017	L'Alqueria d'Asnar	1	1	2	0.7	0.8	1.5	108.43	
	03018	Altea	11	8	19	4.47	5.71	10.18	3,490.20	
	03019	Aspe	2	13	15	3.13	31.77	34.9	7,091.00	
	03020	Balones	1	5	6	2.55	5.45	8	1,125.13	
	03021	Banyeres de Mariola	4	15	19	12.93	4.89	17.82	5,028.69	
	03022	Benasau	3	0	3	0.2	1.2	1.4	904.52	
	03023	Beneixama	0	3	3	1.51	0.2	1.71	3,489.29	
	03024	Benejézar	1	0	1	0.06	0	0.06	932.84	
	03025	Benferri	0	0	0	0	0	0	1,236.19	
	03026	Beniarbeig	0	5	5	0.14	9.09	9.23	740.93	
	03027	Beniardá	2	4	6	13.22	4.05	17.27	1,575.02	
	03028	Beniarrés	5	18	23	10.86	21.73	32.59	2,022.44	
