Provincia	Código INE	Nombre del Municipio	Nº de conatos	Nº de incendios	Total conatos + incendios	Superficie arbolada (ha)	Superficie desarbola (ha)	Superficie forestal total (ha)	Superficie total del Municipio 	
	22173	Las Peñas de Riglos	3	13	16	924.62	862.31	1786.93	21,788.35	
	22174	Peralta de Alcofea	2	0	2	0	2.43	2.43	11,621.62	
	22175	Peralta de Calasanz	5	9	14	978	207.41	1185.41	11,501.30	
	22176	Peraltilla	0	2	2	15	280	295	1,620.82	
	22177	Perarréa	0	3	3	0.7	2.52	3.22	3,008.45	
	22178	Pertusa	0	2	2	0.05	1.5	1.55	2,938.29	
	22181	Piracés	1	0	1	0	0.9	0.9	2,516.39	
	22182	Plan	0	0	0	0	0	0	9,345.07	
	22184	Poleñino	2	6	8	0.4	24.48	24.88	3,303.02	
	22186	Pozán de Vero	2	0	2	0.1	1	1.1	1,476.37	
	22187	La Puebla de Castro	2	6	8	0.1	1.17	1.27	2,941.65	
	22188	Puente de Montañana	0	1	1	0	1.5	1.5	4,862.76	
	22189	Puértolas	4	0	4	0.01	1.03	1.04	9,994.58	
	22190	El Pueyo de Araguás	1	0	1	0	0.01	0.01	6,189.31	
	22193	Pueyo de Santa Cruz	2	0	2	0	0.78	0.78	930.23	
	22195	Quicena	1	0	1	0.1	0	0.1	967.35	
	22197	Robres	0	6	6	0.82	3.93	4.75	6,425.81	
	22199	Sabiñánigo	8	25	33	18.94	15.66	34.6	58,706.61	
	22200	Sahén	4	0	4	0.21	0.03	0.24	7,344.88	
	22201	Salas Altas	1	0	1	0	0.09	0.09	2,075.19	
	22202	Salas Bajas	1	0	1	0.05	0	0.05	1,293.97	
	22203	Salillas	0	2	2	0	6.05	6.05	2,834.90	
	22204	Sallent de Gállego	0	3	3	0.02	3.04	3.06	16,184.36	
	22205	San Esteban de Litera	2	8	10	5.12	31.24	36.36	7,197.52	
	22206	Sangarrén	2	5	7	1	8.26	9.26	3,223.33	
	22207	San Juan de Plan	2	0	2	0.01	0.1	0.11	5,558.71	
	22208	Santa Cilia	0	0	0	0	0	0	2,807.95	
	22209	Santa Cruz de la Serós	0	0	0	0	0	0	2,696.60	
	22212	Santaliestra y San Quílez	1	0	1	0.01	0	0.01	2,336.00	
	22213	Sariñena	10	46	56	31.7	68.53	100.23	27,571.96	
	22214	Secastilla	1	0	1	0	0.04	0.04	4,746.75	
	22215	Seira	7	0	7	1.37	1.83	3.2	6,947.34	
	22217	Sena	1	3	4	1.5	15.6	17.1	10,475.82	
	22218	Senés de Alcubierre	0	1	1	0	2.15	2.15	2,053.50	
	22220	Sesa	3	1	4	0.22	6.1	6.32	3,085.23	
	22221	Sesué	2	0	2	0.25	5.03	5.28	535.52	
	22222	Siétamo	3	9	12	2.88	10.42	13.3	4,900.59	
	22223	Sopeira	2	1	3	0.6	2.08	2.68	4,415.26	
	22225	Tamarite de Litera	2	12	14	0	14.82	14.82	11,070.44	
	22226	Tardienta	1	4	5	0.8	2.51	3.31	9,066.46	
	22227	Tella-Sin	4	3	7	0.4	29.59	29.99	8,958.64	
	22228	Tierz	0	3	3	0.25	0.77	1.02	654.24	
	22229	Tolva	3	0	3	0.06	0.85	0.91	5,904.32	
	22230	Torla	2	5	7	0.43	3.59	4.02	18,546.39	
	22232	Torralba de Aragón	0	4	4	0	2.84	2.84	4,040.10	
	22233	Torre la Ribera	0	3	3	3.5	27.53	31.03	3,210.07	
	22234	Torrente de Cinca	1	11	12	6.18	27.39	33.57	5,686.65	
	22235	Torres de Alcanadre	0	1	1	0	2.1	2.1	1,764.40	
	22236	Torres de Barbués	1	5	6	1.78	13	14.78	1,394.39	
	22239	Tramaced	0	0	0	0	0	0	1,542.47	
	22242	Valfarta	0	0	0	0	0	0	3,322.50	
	22243	Valle de Bardají	2	0	2	0	0.61	0.61	4,553.13	
	22244	Valle de Lierp	1	0	1	0	0.01	0.01	3,279.76	
	22245	Velilla de Cinca	1	0	1	0.15	0	0.15	1,655.81	
	22246	Beranuy	0	2	2	3.8	7.42	11.22	6,383.88	
	22247	Viacamp y Litera	1	4	5	0.23	2.23	2.46	10,789.04	
	22248	Vicién	2	0	2	0	0.41	0.41	1,376.27	
	22249	Villanova	0	0	0	0	0	0	705.64	
	22250	Villanéa	0	3	3	0.88	0.42	1.3	5,820.68	
	22251	Villanueva de Sigena	2	11	13	17.91	9.45	27.36	14,647.31	
	22252	Yebra de Basa	0	7	7	1.44	7.38	8.82	9,091.76	
	22253	Yésero	1	0	1	0.01	0	0.01	3,024.49	
	22254	Zaidín	7	15	22	0.54	50.35	50.89	9,265.15	
	22901	Valle de Hecho	6	0	6	0.16	0.02	0.18	23,443.60	
	22902	Puente la Reina de Jaca	5	0	5	0.31	0.62	0.93	4,812.73	
	22903	San Miguel del Cinca	10	22	32	30.63	78.25	108.88	10,657.89	
	22904	La Sotonera	4	17	21	8.34	15.27	23.61	16,557.65	
	22905	Lupiñén-Ortilla	1	9	10	8.27	32.5	40.77	11,009.20	
	22906	Santa María de Dulcis	2	4	6	0.3	4.53	4.83	2,717.73	
	22907	Aínsa-Sobrarbe	4	9	13	0.32	12.34	12.66	28,499.60	
	22908	Hoz y Costean	3	0	3	0.2	0.04	0.24	5,752.68	
	22909	Vencillón	1	0	1	0	0.03	0.03	1,037.90	
	53049	Comunero de Ansó y Hecho	0	0	0	0	0	0	972.41	
Total Huesca									1,564,746.97	
Illes Balears	07001	Alaró	8	6	14	5.41	0.21	5.62	4,596.37	
	07002	Alaior	5	11	16	0.03	3.08	3.11	11,068.01	
	07003	Alcúdia	9	35	44	6.18	44.59	50.77	6,032.04	
	07004	Algaida	15	1	16	86.88	12.27	99.15	9,027.21	
	07005	Andratx	17	46	63	841.16	1133.18	1974.34	8,178.56	
	07006	Artà	8	43	51	191.72	726.96	918.68	14,068.10	
	07007	Banyalbufar	2	10	12	5.44	1.7	7.14	1,813.06	
	07008	Binissalem	0	0	0	0	0	0	2,993.26	
	07009	Béger	4	0	4	0.18	0.07	0.25	833.48	
	07010	Bunyola	20	3	23	13.61	6.4	20.01	8,512.90	
	07011	Calvià	17	71	88	214.26	306.46	520.72	14,570.33	
	07012	Campanet	4	0	4	0.01	0.07	0.08	3,484.69	
	07013	Campos	9	0	9	0.3	0.56	0.86	15,046.51	
	07014	Capdepera	14	28	42	32.09	149.61	181.7	5,529.31	
	07015	Ciutadella de Menorca	4	13	17	5.78	0.85	6.63	18,756.13	
	07016	Consell	1	0	1	0	0.01	0.01	1,377.49	
	07017	Costitx	4	0	4	0.01	0.31	0.32	1,545.30	
	07018	Deià	4	0	4	0.44	0.09	0.53	1,520.38	
	07019	Escorca	5	16	21	6.03	68.82	74.85	13,995.37	
	07020	Esporles	3	12	15	2.26	1.54	3.8	3,546.45	
	07021	Estellencs	4	0	4	125.72	138.35	264.07	1,346.21	
	07022	Felanitx	17	2	19	23.62	0.2	23.82	17,074.78	
	07023	Ferreries	4	16	20	46.06	111.46	157.52	6,660.28	
	07024	Formentera	13	52	65	1.65	1.62	3.27	8,279.89	
	07025	Fornalutx	5	6	11	0.58	19.22	19.8	1,959.85	
	07026	Eivissa	0	6	6	0	1.91	1.91	1,124.10	
	07027	Inca	1	3	4	0.9	1.01	1.91	5,866.37	
	07028	Lloret de Vistalegre	1	0	1	0	0.01	0.01	1,753.96	
	07029	Lloseta	4	0	4	0.02	0.02	0.04	1,216.43	
	07030	Llubí	1	0	1	0	0.61	0.61	3,512.18	
	07031	Llucmajor	15	19	34	41.16	21.87	63.03	32,909.40	
	07032	Maó	17	0	17	0.45	1.07	1.52	11,844.11	
	07033	Manacor	6	24	30	1.19	20.94	22.13	26,180.49	
	07034	Mancor de la Vall	2	6	8	1.84	1.06	2.9	1,999.82	
	07035	Maria de la Salut	2	0	2	0.09	0.01	0.1	3,070.27	
	07036	Marratxí	2	19	21	3.74	3.55	7.29	5,449.61	
	07037	Es Mercadal	6	39	45	9.1	50.36	59.46	13,924.26	
	07038	Montuïri	4	4	8	1.19	0.09	1.28	4,136.13	
	07039	Muro	12	47	59	3.18	414.23	417.41	5,896.18	
	07040	Palma de Mallorca	31	82	113	36.01	37.27	73.28	20,979.61	
	07041	Petra	6	10	16	74.85	91.92	166.77	7,046.18	
	07042	Pollença	8	44	52	8.19	111.19	119.38	15,213.75	
	07043	Porreres	1	3	4	0.96	0.51	1.47	8,741.86	
	07044	Sa Pobla	27	62	89	34.88	101.18	136.06	4,886.60	
	07045	Puigpunyent	6	8	14	2.24	4.12	6.36	4,251.42	
	07046	Sant Antoni de Portmany	17	100	117	11.67	3.17	14.84	12,694.04	
	07047	Sencelles	3	0	3	0.09	0.01	0.1	5,314.88	
	07048	Sant Josep de sa Talaia	23	75	98	24.8	7.23	32.03	15,937.68	
	07049	Sant Joan	0	9	9	2.33	0.05	2.38	3,875.97	
	07050	Sant Joan de Labritja	29	76	105	1663.01	2.99	1666	12,201.52	
	07051	Sant Llorené des Cardassar	2	12	14	41.93	74.27	116.2	8,256.74	
	07052	Sant Lluís	2	0	2	0	0.07	0.07	3,499.00	
	07053	Santa Eugènia	5	0	5	0.2	0.71	0.91	2,036.03	
	07054	Santa Eulalia del Río	20	110	130	351.73	32.53	384.26	15,401.20	
	07055	Santa Margalida	5	8	13	17.37	76.16	93.53	8,704.88	
	07056	Santa María del Camí	3	3	6	2.7	0.01	2.71	3,781.50	
	07057	Santanyí	2	12	14	3.41	0.34	3.75	12,525.54	
	07058	Selva	4	15	19	1.77	3.04	4.81	4,901.57	
	07059	Ses Salines	3	0	3	0.06	0.26	0.32	3,927.60	
	07060	Sineu	4	5	9	1.81	3.15	4.96	4,801.15	
	07061	Sàller	5	22	27	19.47	3.69	23.16	4,298.32	
	07062	Son Servera	8	12	20	4.24	6.11	10.35	4,285.53	
	07063	Valldemossa	3	8	11	12.32	1.71	14.03	4,308.08	
	07064	Es Castell	7	0	7	0	0.94	0.94	1,170.32	
	07065	Vilafranca de Bonany	0	0	0	0	0	0	2,410.63	
	07901	Ariany	0	0	0	0	0	0	2,327.66	
	07902	Es Migjorn Gran	3	3	6	1.45	1.01	2.46	3,165.82	
Total Illes Balears									501,644.39	
Jaén	23001	Albanchez de Mágina	1	11	12	0.31	2.72	3.03	3,879.67	
	23002	Alcalá la Real	4	14	18	6.61	15.13	21.74	26,119.90	
	23003	Alcaudete	7	32	39	12.8	133.38	146.18	23,667.38	
	23004	Aldeaquemada	2	8	10	0.58	439.28	439.86	12,018.19	
	23005	Andéjar	16	89	105	72.36	393.33	465.69	96,432.99	
	23006	Arjona	1	0	1	0	0.55	0.55	15,835.62	
	23007	Arjonilla	1	1	2	0.5	0.8	1.3	4,253.35	
	23008	Arquillos	0	5	5	4.1	5.96	10.06	6,618.98	
	23009	Baeza	3	8	11	0.4	12.04	12.44	19,262.90	
	23010	Bailén	1	18	19	2.02	36.05	38.07	11,705.60	
	23011	Baños de la Encina	17	61	78	16.17	552.99	569.16	39,199.65	
	23012	Beas de Segura	16	22	38	44.85	34.37	79.22	15,924.74	
	23014	Begíjar	3	0	3	1.1	2.67	3.77	4,276.06	
	23015	Bélmez de la Moraleda	1	9	10	1.75	4.62	6.37	4,940.22	
	23016	Benatae	5	7	12	0.98	2	2.98	4,442.60	
	23017	Cabra del Santo Cristo	2	34	36	8.69	150.57	159.26	18,688.43	
	23018	Cambil	3	17	20	0.01	26.86	26.87	13,978.07	
	23019	Campillo de Arenas	2	14	16	18.52	34.76	53.28	11,664.18	
	23020	Canena	0	0	0	0	0	0	1,430.91	
	23021	Carboneros	2	9	11	9	80.21	89.21	5,856.20	
	23024	La Carolina	8	54	62	7.09	377.53	384.62	20,121.94	
	23025	Castellar	1	14	15	1069.7	1299.16	2368.86	15,723.41	
	23026	Castillo de Locubín	6	20	26	1.45	85.79	87.24	10,248.78	
	23027	Cazalilla	1	0	1	0	0.06	0.06	4,659.41	
	23028	Cazorla	3	19	22	0.91	13.57	14.48	30,516.75	
	23029	Chiclana de Segura	1	27	28	6.9	83.04	89.94	23,580.19	
	23030	Chilluévar	5	0	5	0.71	0.28	0.99	3,874.74	
	23031	Escañuela	1	0	1	0	0.5	0.5	1,374.48	
	23032	Espeléy	0	3	3	0.02	2.93	2.95	2,547.66	
	23033	Frailes	1	5	6	0	2.08	2.08	4,031.19	
	23034	Fuensanta de Martos	1	10	11	0.1	6.97	7.07	5,400.77	
	23035	Fuerte del Rey	0	1	1	0	1.5	1.5	3,506.54	
	23037	Génave	1	3	4	0.01	4.77	4.78	6,353.46	
	23038	La Guardia de Jaén	7	11	18	2.4	44.1	46.5	3,840.09	
	23039	Guarromán	8	39	47	11.58	157.68	169.26	9,614.56	
	23040	Lahiguera	0	1	1	0	1.3	1.3	4,472.55	
	23041	Higuera de Calatrava	0	0	0	0	0	0	3,871.99	
	23042	Hinojares	4	0	4	0.6	2.8	3.4	4,000.12	
	23043	Hornos	2	14	16	232.6	474.96	707.56	11,748.39	
	23044	Huelma	2	16	18	1.45	10.53	11.98	25,009.55	
	23045	Huesa	4	16	20	8.67	56.9	65.57	13,831.70	
	23046	Ibros	1	10	11	2	11.86	13.86	5,570.05	
	23047	La Iruela	2	17	19	824.08	114.13	938.21	12,386.86	
	23048	Iznatoraf	5	12	17	177.13	168.51	345.64	8,646.70	
	23049	Jabalquinto	1	5	6	0.1	12.45	12.55	7,318.86	
	23050	Jaén	47	118	165	27.37	206.93	234.3	42,402.40	
	23051	Jamilena	1	4	5	0	1.44	1.44	898.17	
	23052	Jimena	2	11	13	13.22	29.71	42.93	4,800.71	
	23053	Jàdar	14	46	60	209.32	1469.1	1678.42	14,866.47	
	23054	Larva	1	3	4	0	8.62	8.62	4,172.66	
	23055	Linares	13	72	85	27.31	250.59	277.9	19,656.12	
	23056	Lopera	0	0	0	0	0	0	6,786.49	
	23057	Lupión	1	3	4	0.4	9.83	10.23	2,430.84	
	23058	Mancha Real	0	9	9	5.2	48.01	53.21	9,763.02	
	23059	Marmolejo	2	35	37	27.4	172.27	199.67	17,796.62	
	23060	Martos	2	13	15	1.97	36.21	38.18	26,094.30	
	23061	Mengíbar	0	16	16	0.3	11.51	11.81	6,229.88	
	23062	Montizón	2	7	9	779.4	2012.09	2791.49	21,181.77	
	23063	Navas de San Juan	0	9	9	0	12.58	12.58	17,562.38	
	23064	Noalejo	4	0	4	0.1	0.56	0.66	4,962.76	
	23065	Orcera	0	12	12	168.81	55.99	224.8	12,611.60	
	23066	Peal de Becerro	3	9	12	0	43.34	43.34	14,724.25	
	23067	Pegalajar	4	18	22	45.4	83.05	128.45	7,988.95	
	23069	Porcuna	0	0	0	0	1	1	17,547.90	
	23070	Pozo Alcàn	5	13	18	2.51	10.81	13.32	13,849.56	
	23071	Puente de Génave	2	9	11	2.55	25.53	28.08	3,881.08	
	23072	La Puerta de Segura	5	12	17	1.1	25.38	26.48	9,737.60	
	23073	Quesada	9	33	42	65.57	57	122.57	32,808.84	
	23074	Rus	0	13	13	0.3	16.51	16.81	4,726.04	
	23075	Sabiote	0	3	3	0	4.58	4.58	11,210.51	
	23076	Santa Elena	8	22	30	0.96	57.18	58.14	14,536.45	
	23077	Santiago de Calatrava	0	0	0	0	0	0	4,706.50	
	23079	Santisteban del Puerto	4	21	25	902.91	747.18	1650.09	37,262.88	
	23080	Santo Tomé	3	7	10	0.69	3.05	3.74	7,341.95	
	23081	Segura de la Sierra	7	20	27	248.41	37.74	286.15	22,484.37	
	23082	Siles	1	24	25	93.8	4.17	97.97	17,771.09	
	23084	Sorihuela del Guadalimar	1	7	8	0	5.32	5.32	5,526.29	
	23085	Torreblascopedro	0	5	5	0.1	9.21	9.31	6,138.48	
	23086	Torre del Campo	3	8	11	3.01	31.17	34.18	18,196.11	
	23087	Torredonjimeno	0	2	2	1	6.43	7.43	15,768.17	
	23088	Torreperogil	0	2	2	0.3	6.4	6.7	9,087.05	
	23090	Torres	0	5	5	0.72	1.82	2.54	7,997.90	
	23091	Torres de Albánchez	4	12	16	2.95	8.89	11.84	5,784.18	
	23092	Úbeda	6	38	44	2.03	312.78	314.81	40,365.66	
	23093	Valdepeñas de Jaén	0	7	7	1	4.64	5.64	18,367.90	
	23094	Vilches	6	81	87	11.57	353.34	364.91	27,261.50	
	23095	Villacarrillo	7	30	37	15.59	25.9	41.49	23,936.53	
	23096	Villanueva de la Reina	2	20	22	2.43	35.81	38.24	20,912.34	
	23097	Villanueva del Arzobispo	6	20	26	846.9	789.67	1636.57	17,766.77	
	23098	Villardompardo	0	0	0	0	0	0	1,746.07	
	23099	Los Villares	1	13	14	1.45	28.74	30.19	8,854.88	
	23101	Villarrodrigo	2	6	8	32.5	17.56	50.06	7,844.42	
	23901	Cárcheles	2	9	11	0.57	13.47	14.04	4,047.60	
	23902	Bedmar y Garcíez	12	23	35	2.22	330.91	333.13	11,871.22	
	23903	Villatorres	0	3	3	0.5	8.7	9.2	7,262.49	
	23904	Santiago-Pontones	14	34	48	755.69	1214.75	1970.44	68,231.43	
	23905	Arroyo del Ojanco	1	8	9	1	8.46	9.46	5,726.18	
	53050	Cuarto del Madroño	0	0	0	0	0	0	699.33	
Total Jaen									1,348,633.01	
La Rioja	26001	Ábalos	0	10	10	3.19	6.04	9.23	1,808.52	
	26002	Agoncillo	2	5	7	6.4	6.93	13.33	3,490.70	
	26003	Aguilar del Río Alhama	6	13	19	2.65	10.26	12.91	5,407.55	
	26004	Ajamil de Cameros	0	0	0	0	0	0	6,610.42	
	26005	Albelda de Iregua	1	9	10	3.83	6.04	9.87	2,301.72	
	26006	Alberite	4	11	15	1.81	3.27	5.08	2,021.93	
	26007	Alcanadre	0	15	15	1.64	28.25	29.89	3,106.09	
	26008	Aldeanueva de Ebro	2	2	4	1.35	3.71	5.06	3,905.95	
	26009	Alesanco	2	5	7	5	8.34	13.34	1,715.26	
	26010	Alesón	6	23	29	0.09	11.12	11.21	648.69	
	26011	Alfaro	4	21	25	3.47	23.59	27.06	19,381.60	
	26012	Almarza de Cameros	0	0	0	0	0	0	2,808.39	
	26013	Anguciana	1	3	4	0.26	6.05	6.31	504.72	
	26014	Anguiano	3	0	3	0.23	0.29	0.52	9,081.84	
	26015	Arenzana de Abajo	4	11	15	0.37	8.51	8.88	838.00	
	26016	Arenzana de Arriba	9	0	9	0	0.7	0.7	591.92	
	26017	Arnedillo	0	5	5	0.02	157.65	157.67	4,830.01	
	26018	Arnedo	3	11	14	1.04	1.26	2.3	8,534.29	
	26019	Arrébal	0	3	3	0.2	1.02	1.22	734.85	
	26020	Ausejo	1	16	17	15.44	140.82	156.26	5,653.67	
	26021	Autol	2	11	13	1.43	46.71	48.14	8,523.16	
	26022	Azofra	0	3	3	0.03	4.22	4.25	1,182.71	
	26023	Badarán	4	10	14	0.6	14.2	14.8	2,067.00	
	26024	Bañares	3	0	3	0.15	0.95	1.1	2,956.64	
	26025	Baños de Rioja	0	6	6	2.2	1	3.2	922.28	
	26026	Baños de Río Tobía	2	15	17	0.52	18.18	18.7	1,757.74	
	26027	Berceo	4	0	4	0.15	0.62	0.77	1,526.03	
	26028	Bergasa	0	12	12	4.58	19.67	24.25	2,707.10	
	26029	Bergasillas Bajera	0	1	1	0	3	3	969.74	
	26030	Bezares	0	1	1	0	3.2	3.2	461.58	
	26031	Bobadilla	0	4	4	4	0.84	4.84	465.88	
	26032	Brieva de Cameros	0	0	0	0	0	0	4,611.07	
	26033	Briñas	4	0	4	0.1	0.67	0.77	243.60	
	26034	Briones	2	14	16	3.65	4.21	7.86	3,768.75	
	26035	Cabezón de Cameros	0	0	0	0	0	0	1,200.23	
	26036	Calahorra	6	30	36	12.52	21	33.52	9,351.22	
	26037	Camprovín	3	12	15	0	9.77	9.77	2,043.21	
	26038	Canales de la Sierra	0	1	1	2	3	5	5,439.40	
	26039	Canillas de Río Tuerto	0	0	0	0	0	0	360.09	
	26040	Cañas	0	2	2	0	4.25	4.25	970.95	
	26041	Cárdenas	4	0	4	0.01	0.97	0.98	397.96	
	26042	Casalarreina	5	0	5	0.2	0.37	0.57	812.15	
	26043	Castañares de Rioja	0	0	0	0	0	0	1,089.74	
	26044	Castroviejo	0	3	3	0.01	1.25	1.26	2,073.60	
	26045	Cellorigo	1	0	1	0.1	0.39	0.49	1,242.48	
	26046	Cenicero	3	24	27	5.54	22.87	28.41	3,173.92	
	26047	Cervera del Río Alhama	2	8	10	3.6	25.05	28.65	15,248.23	
	26048	Cidamàn	0	0	0	0	0	0	1,578.33	
	26049	Cihuri	1	8	9	0.5	1.48	1.98	975.25	
	26050	Cirueña	2	2	4	0.1	1.84	1.94	1,213.58	
	26051	Clavijo	3	0	3	0.14	0.45	0.59	1,964.38	
	26052	Cordovín	0	1	1	0	1.25	1.25	459.28	
	26053	Corera	2	0	2	0	0.75	0.75	819.02	
	26054	Cornago	1	5	6	0.05	75.22	75.27	8,048.29	
	26055	Corporales	0	2	2	0.5	2.48	2.98	840.79	
	26056	Cuzcurrita de Río Tiràn	4	12	16	0.18	8.29	8.47	1,915.30	
	26057	Daroca de Rioja	2	0	2	0.08	0.05	0.13	1,128.37	
	26058	Enciso	0	0	0	0	0	0	6,963.59	
	26059	Entrena	8	32	40	2.03	13.64	15.67	2,101.54	
	26060	Estollo	1	1	2	0	3.05	3.05	1,613.00	
	26061	Ezcaray	1	14	15	23.5	299.64	323.14	14,273.32	
	26062	Foncea	1	0	1	0	5.1	5.1	2,270.36	
	26063	Fonzaleche	0	4	4	0.12	2.9	3.02	1,698.60	
	26064	Fuenmayor	1	27	28	2.01	17.74	19.75	3,424.78	
	26065	Galbárruli	4	0	4	0	0.74	0.74	1,542.53	
	26066	Galilea	1	0	1	0.2	0.2	0.4	973.81	
	26067	Gallinero de Cameros	0	0	0	0	0	0	1,116.18	
	26068	Gimileo	0	3	3	0.55	0.85	1.4	399.93	
	26069	Grañàn	1	3	4	1.5	3.67	5.17	3,098.79	
	26070	Grávalos	1	4	5	0.55	1.72	2.27	3,098.35	
	26071	Haro	7	20	27	4.91	23.28	28.19	4,050.18	
	26072	Herce	2	0	2	0.2	0.1	0.3	1,720.19	
	26073	Herramélluri	1	0	1	0	0.8	0.8	1,086.87	
	26074	Hervías	0	6	6	0	1.47	1.47	1,412.96	
	26075	Hormilla	2	7	9	0.18	4.85	5.03	1,584.38	
	26076	Hormilleja	2	2	4	0.08	11.71	11.79	743.79	
	26077	Hornillos de Cameros	1	0	1	0	0.01	0.01	1,189.23	
	26078	Hornos de Moncalvillo	6	7	13	0.07	4.78	4.85	739.80	
	26079	Huércanos	6	51	57	1.35	5.83	7.18	2,146.57	
	26080	Igea	0	6	6	0.6	4.05	4.65	5,421.50	
	26081	Jalón de Cameros	0	0	0	0	0	0	841.88	
	26082	Laguna de Cameros	2	0	2	0.3	0.6	0.9	4,156.78	
	26083	Lagunilla del Jubera	3	0	3	0	0.9	0.9	3,427.25	
	26084	Lardero	2	8	10	3.36	3.12	6.48	2,060.42	
	26086	Ledesma de la Cogolla	0	0	0	0	0	0	1,212.25	
	26087	Leiva	1	4	5	0	3.05	3.05	1,270.00	
	26088	Leza de Río Leza	2	0	2	0	0.03	0.03	1,111.72	
	26089	Logroño	4	21	25	2.85	19.1	21.95	7,895.83	
	26091	Lumbreras	3	0	3	0.06	0.32	0.38	14,279.94	
	26092	Manjarrés	3	5	8	0.01	1.97	1.98	616.07	
	26093	Mansilla de la Sierra	0	2	2	0	1.5	1.5	8,468.62	
	26094	Manzanares de Rioja	0	4	4	1	4.2	5.2	1,789.78	
	26095	Matute	1	0	1	0	0.1	0.1	2,562.77	
	26096	Medrano	4	20	24	2.2	13.18	15.38	745.04	
	26098	Munilla	1	0	1	0	0.01	0.01	5,414.66	
	26099	Murillo de Río Leza	5	12	17	1.61	14.04	15.65	4,603.09	
	26100	Muro de Aguas	1	0	1	0.18	0	0.18	3,087.92	
	26101	Muro en Cameros	0	0	0	0	0	0	1,597.28	
	26102	Nájera	10	37	47	8.47	24.01	32.48	3,740.87	
	26103	Nalda	6	9	15	1.41	20.76	22.17	2,457.94	
	26104	Navajén	0	0	0	0	0	0	1,636.54	
	26105	Navarrete	13	31	44	1.37	12.54	13.91	2,850.97	
	26106	Nestares	0	1	1	0	1	1	2,158.94	
	26107	Nieva de Cameros	0	0	0	0	0	0	4,201.55	
	26108	Ocón	1	25	26	27.83	96	123.83	6,088.06	
	26109	Ochánduri	0	2	2	0	10.65	10.65	1,171.30	
	26110	Ojacastro	4	0	4	0.47	3.23	3.7	4,428.73	
	26111	Ollauri	1	0	1	0	0.15	0.15	259.70	
	26112	Ortigosa de Cameros	1	0	1	0	0.01	0.01	3,299.22	
	26113	Pazuengos	0	0	0	0	0	0	2,509.59	
	26114	Pedroso	0	0	0	0	0	0	1,927.39	
	26115	Pinillos	0	0	0	0	0	0	1,187.77	
	26117	Pradejón	1	9	10	4.07	3.09	7.16	3,173.50	
	26118	Pradillo	2	0	2	0.02	0.13	0.15	1,026.76	
	26119	Préjano	2	0	2	0	7.68	7.68	4,236.78	
	26120	Quel	3	8	11	2.37	11.79	14.16	5,473.89	
	26121	Rabanera	0	0	0	0	0	0	1,379.45	
	26122	El Rasillo de Cameros	0	0	0	0	0	0	1,583.66	
	26123	El Redal	1	2	3	0.5	6.87	7.37	840.04	
	26124	Ribafrecha	4	14	18	1.74	29.94	31.68	3,455.47	
	26125	Rincón de Soto	3	5	8	2.27	6.63	8.9	1,984.79	
	26126	Robres del Castillo	1	0	1	0	0.15	0.15	3,585.14	
	26127	Rodezno	0	5	5	0.05	5.1	5.15	1,429.06	
	26128	Sajazarra	2	5	7	0.02	1.86	1.88	1,382.82	
	26129	San Asensio	3	20	23	0.37	19.84	20.21	3,229.95	
	26130	San Millán de la Cogolla	0	0	0	0	0	0	3,116.17	
	26131	San Millán de Yécora	0	0	0	3.59	4.16	7.75	1,076.22	
	26132	San Román de Cameros	2	0	2	0.28	0.01	0.29	4,746.70	
	26134	Santa Coloma	2	2	4	0.31	2.55	2.86	2,022.91	
	26135	Santa Engracia del Jubera	2	9	11	0.38	24.13	24.51	8,600.41	
	26136	Santa Eulalia Bajera	0	4	4	0.04	5.17	5.21	842.22	
	26138	Santo Domingo de la Calzada	0	8	8	5.41	11.5	16.91	4,005.50	
	26139	San Torcuato	1	0	1	0	0.06	0.06	1,081.49	
	26140	Santurde de Rioja	0	0	0	0	0	0	1,541.89	
	26141	Santurdejo	0	0	0	0	0	0	1,833.56	
	26142	San Vicente de la Sonsierra	7	35	42	0.5	31.72	32.22	4,852.57	
	26143	Sojuela	1	18	19	1.4	22.37	23.77	1,513.58	
	26144	Sorzano	3	18	21	0.53	48.84	49.37	1,022.00	
	26145	Sotés	3	20	23	0.42	2.96	3.38	1,458.78	
	26146	Soto en Cameros	1	0	1	0	0.7	0.7	4,900.82	
	26147	Terroba	1	0	1	0	0.01	0.01	883.03	
	26148	Tirgo	1	0	1	0	0.2	0.2	912.98	
	26149	Tobía	1	2	3	24.7	14.12	38.82	3,491.06	
	26150	Tormantos	2	4	6	0	1.45	1.45	1,105.63	
	26151	Torrecilla en Cameros	0	4	4	0	1.33	1.33	3,044.87	
	26152	Torrecilla sobre Alesanco	0	0	0	0	0	0	435.59	
	26153	Torre en Cameros	0	0	0	0	0	0	1,162.83	
	26154	Torremontalbo	2	0	2	0.05	2.05	2.1	495.31	
	26155	Treviana	0	8	8	0	23.81	23.81	3,490.85	
	26157	Tricio	3	2	5	0.7	1.26	1.96	634.48	
	26158	Tudelilla	1	10	11	1.13	15.6	16.73	1,905.18	
	26160	Uruñuela	4	0	4	0.05	0.54	0.59	1,361.09	
	26161	Valdemadera	0	1	1	0	2	2	1,392.48	
	26162	Valgañón	0	0	0	0	0	0	3,171.54	
	26163	Ventosa	5	0	5	0	0.71	0.71	962.21	
