país Name	país Code	serie Name	serie Code	1960 [YR1960]	1961 [YR1961]	1962 [YR1962]	1963 [YR1963]	1964 [YR1964]	1965 [YR1965]	1966 [YR1966]	1967 [YR1967]	1968 [YR1968]	1969 [YR1969]	1970 [YR1970]	1971 [YR1971]	1972 [YR1972]	1973 [YR1973]	1974 [YR1974]	1975 [YR1975]	1976 [YR1976]	1977 [YR1977]	1978 [YR1978]	1979 [YR1979]	1980 [YR1980]	1981 [YR1981]	1982 [YR1982]	1983 [YR1983]	1984 [YR1984]	1985 [YR1985]	1986 [YR1986]	1987 [YR1987]	1988 [YR1988]	1989 [YR1989]	1990 [YR1990]	1991 [YR1991]	1992 [YR1992]	1993 [YR1993]	1994 [YR1994]	1995 [YR1995]	1996 [YR1996]	1997 [YR1997]	1998 [YR1998]	1999 [YR1999]	2000 [YR2000]	2001 [YR2001]	2002 [YR2002]	2003 [YR2003]	2004 [YR2004]	2005 [YR2005]	2006 [YR2006]	2007 [YR2007]	2008 [YR2008]	2009 [YR2009]	2010 [YR2010]	2011 [YR2011]	2012 [YR2012]	2013 [YR2013]	2014 [YR2014]	2015 [YR2015]	2016 [YR2016]	2017 [YR2017]	2018 [YR2018]	2019 [YR2019]
Alemania	DEU	Producción de electricidad a partir de fuentes nucleares (% del total)	EG.ELC.NUCL.ZS	0	0.0189971108560573	0.0728485987572029	0.0375199324641216	0.0635867837315659	0.0682434600017498	0.149986133357482	0.667764162051371	0.873647602416135	2.19839428604507	2.10317678797555	1.89947104498409	2.75296995209335	3.23385476770526	3.70209159597811	6.28970477108685	7.00792315559426	9.68306759957095	9.79364873854286	11.1349457731734	11.9202727623622	14.0106512848032	15.899288413596	16.3719301189153	20.7293639328105	26.6330490241279	25.0068511133299	26.7170248102144	28.6633924866891	29.0046412162247	27.8404090203597	27.4770167927648	29.7568543974576	29.3358495043896	28.6941289591683	28.7325408116153	29.0573116321131	31.0811279335634	29.2634532699706	30.7674488050747	29.6351821468322	29.4396153198393	28.3256064912347	27.3457885398184	27.3381824727338	26.4785644689834	26.435995018428	22.1780346966763	23.4078943220152	22.8711485068631	22.4321438660162	17.7809653046302	15.9463090691627	15.3710037996982	15.6171515488682	14.3199259868293	..	..	..	..
Alemania	DEU	Producción de electricidad a partir de fuentes renovables, excluida la hidroeléctrica (% del total)	EG.ELC.RNWX.ZS	0	0	0	0	0	0	0	0	0	0	0.823911572006439	0.845839101112608	0.81444196125257	0.777877505663119	0.267818508153614	0.287411730984704	0.296851382103018	0.286584063485059	0.282382459696322	0.2827365994187	0.611570956812626	0.627275584356166	0.56503933912828	0.517816320966423	0.525601460953475	0.544029506685108	0.498262787626985	0.434899814691583	0.434282748044722	0.455689571346814	0.304391490915731	0.389678738993629	0.438096808526586	0.505658513991736	0.666977656343713	0.779258803259674	0.83422463777327	1.0410374974225	1.39144602851324	1.64149526282927	2.40130837496265	2.60566502717027	3.66919034837805	4.61710760218223	5.9790052445979	6.9611886976291	8.15985282868576	10.5972733140486	11.4767174248873	12.8527745666699	13.3830633770785	17.4731731738326	19.5125040483039	20.4390586859838	22.9807472770598	26.2710872790643	..	..	..	..
Alemania	DEU	Producción de electricidad a partir de fuentes renovables, excluida la hidroeléctrica (kilovatio-hora)	EG.ELC.RNWX.KH	0	0	0	0	0	0	0	0	0	0	2544000000	2768000000	2817000000	2912000000	1046000000	1103000000	1251000000	1221000000	1265000000	1322000000	2852000000	2934000000	2645000000	2469000000	2645000000	2832000000	2600000000	2307000000	2376000000	2540000000	1667000000	2088000000	2338000000	2642000000	3503000000	4152000000	4594000000	5705000000	7686000000	9070000000	13743000000	15162000000	21353000000	27869000000	36538000000	42867000000	51630000000	67151000000	72806000000	75827000000	83856000000	106102000000	121703000000	129368000000	142926000000	168389000000	..	..	..	..
Alemania	DEU	Producción de electricidad a partir del petróleo (% del total)	EG.ELC.PETR.ZS	2.70858565753924	3.69810424664582	4.57270654398963	6.28391868894636	7.74597079899239	9.97637726384555	12.3175404538071	11.8360516331604	11.9456221152562	12.9744003063592	12.2084004002967	11.6602342558724	12.2114253167997	11.9761614736932	8.27216095738716	8.24895119472601	8.53987561191487	7.22022846922801	7.41181407849563	6.28158597694905	5.73422824548613	4.46255053587807	3.78565675942996	2.6805226400453	1.82360854713423	1.84320731519902	2.61453815830575	2.60355498079994	2.15569475186846	1.87245356541209	1.8984753035698	2.75089301377686	2.47661484957052	1.93133991850515	1.67058577127027	1.68595419790021	1.44654624825901	1.25289455868587	1.15428830052048	1.05783239374169	0.836080955700814	0.817685938482796	0.742670382882496	1.71188678651365	1.76319945017632	1.94819746670997	1.73138074255767	1.57923060049269	1.52558403480564	1.70620001830614	1.39502667643393	1.17945812775432	1.22282826533786	1.13722361342613	0.909897771160469	0.968692616000512	..	..	..	..
Alemania	DEU	Producción de energía eléctrica renovable (% de la producción total de electricidad)	EG.ELC.RNEW.ZS	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	3.48635077147813	3.16875254280307	3.69796429267415	3.92737044175262	4.46168638912425	4.86698923076346	4.82139711743973	4.20830968721431	4.5081692690654	5.19722375553122	6.19853122329914	6.51244401824412	7.64270028215289	7.55297770223143	9.26747449292675	10.1502111075024	11.3220131113963	13.9380080579109	14.6992338976639	16.0785536793646	16.7270736678142	20.3832827208232	23.0004585405584	24.0725497476084	26.1300965691114	29.2317701223308	..	..	..	..
Andorra	AND	Producción de electricidad a partir de carbón  (% del total)	EG.ELC.COAL.ZS	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Andorra	AND	Producción de electricidad a partir de fuentes de gas natural (% del total)	EG.ELC.NGAS.ZS	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Andorra	AND	Producción de electricidad a partir de fuentes de petróleo, gas y carbón (% del total)	EG.ELC.FOSL.ZS	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Andorra	AND	Producción de electricidad a partir de fuentes hidroeléctricas (% del total)	EG.ELC.HYRO.ZS	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Andorra	AND	Producción de electricidad a partir de fuentes nucleares (% del total)	EG.ELC.NUCL.ZS	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Andorra	AND	Producción de electricidad a partir de fuentes renovables, excluida la hidroeléctrica (% del total)	EG.ELC.RNWX.ZS	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Andorra	AND	Producción de electricidad a partir de fuentes renovables, excluida la hidroeléctrica (kilovatio-hora)	EG.ELC.RNWX.KH	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Andorra	AND	Producción de electricidad a partir del petróleo (% del total)	EG.ELC.PETR.ZS	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
